stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code
1043,1043,Fairway / King (West Side),,  43.427546, -80.432883,,,0,,1,
1044,1044,Fairway / Wabanaki,,  43.423306, -80.436230,,,0,,2,
1047,1047,Fairway / Highway 8,,  43.424022, -80.434552,,,0,,1,
1048,1048,Fairway / King,,  43.428883, -80.431858,,,0,,1,
1049,1049,Fairway / Morgan,,  43.430448, -80.431658,,,0,,2,
1050,1050,Fairway / Thaler,,  43.432222, -80.429911,,,0,,1,
1051,1051,1001 Bishop St. N.,,  43.393802, -80.332356,,,0,,1,
1052,1052,Fairway / River,,  43.434718, -80.427955,,,0,,1,
1053,1053,Fairway / Fairway Cres.,,  43.441445, -80.417826,,,0,,1,
1054,1054,990 Bishop St. N.,,  43.393628, -80.332411,,,0,,1,
1057,1057,Ottawa / Lackner,,  43.456410, -80.432057,,,0,,1,
1058,1058,Cambridge Centre Station,,  43.392529, -80.322482,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,place_CBC,1,
1059,1059,Oldfield / Jadestone,,  43.452388, -80.430785,,,0,,1,
1060,1060,Oldfield / Drumoak,,  43.450771, -80.429873,,,0,,2,
1061,1061,Oldfield / Springmount,,  43.448874, -80.426888,,,0,,2,
1062,1062,Oldfield / Lackner,,  43.449797, -80.424073,,,0,,2,
1063,1063,Cambridge Centre Station,,  43.392495, -80.322734,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,place_CBC,1,
1064,1064,Cambridge Centre Station,,  43.392858, -80.322707,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,place_CBC,1,
1065,1065,Cambridge Centre Station,,  43.392901, -80.322464,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,place_CBC,1,
1066,1066,Cambridge Centre Station,,  43.392958, -80.322822,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,place_CBC,1,
1067,1067,Cambridge Centre Station,,  43.393002, -80.322530,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,place_CBC,1,
1068,1068,River / Bradley,,  43.445866, -80.441338,,,0,,1,
1069,1069,River / Conway,,  43.447185, -80.442154,,,0,,1,
1070,1070,River / Stanley Park Mall,,  43.449523, -80.443344,,,0,place_SPM,1,
1071,1071,River / Ottawa,,  43.451402, -80.444563,,,0,,1,
1072,1072,River / Path To Breckenridge,,  43.453353, -80.445830,,,0,,1,
1073,1073,River / Lorraine,,  43.457472, -80.449694,,,0,,1,
1074,1074,River / Manchester,,  43.458799, -80.454866,,,0,,1,
1076,1076,Frederick / River,,  43.461921, -80.461958,,,0,,1,
1077,1077,Frederick / Lois,,  43.461176, -80.464350,,,0,,1,
1078,1078,University Of Waterloo Station,,  43.474441, -80.539424,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,6
1079,1079,Frederick / Bruce,,  43.460067, -80.467858,,,0,,1,
1080,1080,Frederick / Frederick Mall,,  43.458514, -80.472755,,,0,,1,
1081,1081,Frederick / Ann,,  43.459366, -80.470090,,,0,,1,
1082,1082,Frederick / Filbert,,  43.456523, -80.476616,,,0,,1,
1083,1083,Union / Devitt,,  43.463615, -80.509811,,,0,,1,
1084,1084,Frederick / Gordon,,  43.454783, -80.479894,,,0,,1,
1085,1085,Frederick / Lancaster,,  43.453506, -80.482377,,,0,,1,
1086,1086,Frederick / Region Of Waterloo Headquarters,,  43.452399, -80.484438,,,0,,1,
1088,1088,Frederick Station (Frederick / King),,  43.449417, -80.487668,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,
1089,1089,Queen Station (Benton / Charles),,  43.448576, -80.488354,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,
1090,1090,University Ave. / University Of Waterloo,,  43.469279, -80.538619,,,0,,1,
1092,1092,Union / Weber,,  43.465173, -80.505466,,,0,,1,
1093,1093,Columbia / Phillip,,  43.476816, -80.540812,,,0,,1,
1094,1094,Columbia / U.W. - Optometry,,  43.475516, -80.544382,,,0,,1,
1095,1095,Ira Needles / Victoria,,  43.429185, -80.553306,,,0,,1,
1096,1096,Columbia / U.W. - Village 1,,  43.473156, -80.550990,,,0,,1,
1097,1097,Columbia / U.W. - Ron Eydt Village,,  43.471570, -80.555391,,,0,,1,
1098,1098,Columbia / Old Post,,  43.470128, -80.559605,,,0,,1,
1099,1099,Columbia / U.W. - Columbia Lake Village,,  43.469592, -80.561084,,,0,,1,
1100,1100,450 Columbia St. W.,,  43.466991, -80.568294,,,0,,1,
1101,1101,Ira Needles / Victoria,,  43.429414, -80.553171,,,0,,1,
1102,1102,Columbia / Gatestone,,  43.465334, -80.572942,,,0,,1,
1103,1103,Maple Grove / Fountain (West Side),,  43.424055, -80.379919,,,0,,1,
1104,1104,Columbia / Cavendish,,  43.464006, -80.576783,,,0,,2,
1105,1105,Columbia / Erbsville,,  43.462463, -80.580775,,,0,,1,
1106,1106,Erbsville / Willow Wood,,  43.465168, -80.584193,,,0,,1,
1107,1107,Laurelwood / Erbsville,,  43.471456, -80.592470,,,0,,1,
1108,1108,Laurelwood / Birchmount,,  43.472751, -80.589507,,,0,,1,
1109,1109,Laurelwood / Brookmill,,  43.472042, -80.585098,,,0,,1,
1110,1110,Laurelwood / Beaver Creek Cres.,,  43.471615, -80.581589,,,0,,1,
1111,1111,Laurelwood / Beaver Creek Rd.,,  43.472228, -80.579397,,,0,,2,
1112,1112,Laurelwood / Laurel Gate,,  43.474317, -80.574585,,,0,,1,
1113,1113,Fischer-Hallman / Path To Laurel Gate,,  43.472548, -80.571123,,,0,,1,
1114,1114,Fischer-Hallman / Gatestone,,  43.470677, -80.568997,,,0,,1,
1115,1115,Fischer-Hallman / Columbia,,  43.468554, -80.567133,,,0,,1,
1116,1116,Columbia / Fischer-Hallman,,  43.467987, -80.564974,,,0,,2,
1117,1117,Columbia / U.W. - Columbia Lake Village,,  43.469091, -80.561788,,,0,,1,
1118,1118,Columbia / Old Post,,  43.469858, -80.559694,,,0,,1,
1119,1119,Columbia / U.W. - Ron Eydt Village,,  43.471381, -80.555467,,,0,,2,
1120,1120,Columbia / U.W. - Village 1,,  43.473163, -80.550483,,,0,,1,
1121,1121,Chesapeake / Chesapeake Cres.,,  43.510993, -80.513805,,,0,,2,
1126,1126,Conestoga Station,,  43.498289, -80.529109,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,place_CML,1,
1127,1127,Conestoga Station,,  43.498036, -80.528999,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,place_CML,1,
1128,1128,Conestoga Station,,  43.498071, -80.528838,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,place_CML,1,
1129,1129,Conestoga Station,,  43.498070, -80.528418,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,place_CML,1,
1130,1130,Conestoga Station,,  43.498035, -80.528777,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,place_CML,1,
1131,1131,Northfield / King,,  43.501574, -80.534051,,,0,,1,
1132,1132,Northfield / Colby,,  43.500382, -80.537431,,,0,,1,
1133,1133,Chesapeake / Seawind,,  43.510669, -80.513894,,,0,,2,
1134,1134,Flint / Kingswood,,  43.423466, -80.482004,,,0,,2,
1135,1135,Northfield / Parkside,,  43.496675, -80.547520,,,0,,1,
1136,1136,Northfield / Weber,,  43.495584, -80.550713,,,0,,1,
1137,1137,Northfield / Northgate,,  43.494480, -80.553763,,,0,,1,
1138,1138,Northfield / Skylark,,  43.493625, -80.556182,,,0,,1,
1139,1139,Northlake / Black Oak,,  43.494799, -80.557138,,,0,,2,
