service_id,date,exception_type
14-Weekday-1-23WINT-1111100,20230202,1
14-Weekday-1-23WINT-1111100,20230203,1
14-Weekday-1-23WINT-1111100,20230206,1
14-Weekday-1-23WINT-1111100,20230207,1
14-Weekday-1-23WINT-1111100,20230208,1
14-Weekday-1-23WINT-1111100,20230209,1
14-Weekday-1-23WINT-1111100,20230210,1
14-Weekday-1-23WINT-1111100,20230213,1
14-Weekday-1-23WINT-1111100,20230214,1
14-Weekday-1-23WINT-1111100,20230215,1
14-Weekday-1-23WINT-1111100,20230216,1
14-Weekday-1-23WINT-1111100,20230217,1
14-Weekday-1-23WINT-1111100,20230221,1
14-Weekday-1-23WINT-1111100,20230222,1
14-Weekday-1-23WINT-1111100,20230223,1
14-Weekday-1-23WINT-1111100,20230224,1
14-Weekday-1-23WINT-1111100,20230227,1
14-Weekday-1-23WINT-1111100,20230228,1
14-Weekday-1-23WINT-1111100,20230301,1
14-Weekday-1-23WINT-1111100,20230302,1
14-Weekday-1-23WINT-1111100,20230303,1
14-Weekday-1-23WINT-1111100,20230306,1
14-Weekday-1-23WINT-1111100,20230307,1
14-Weekday-1-23WINT-1111100,20230308,1
14-Weekday-1-23WINT-1111100,20230309,1
14-Weekday-1-23WINT-1111100,20230310,1
14-Weekday-1-23WINT-1111100,20230313,1
14-Weekday-1-23WINT-1111100,20230314,1
14-Weekday-1-23WINT-1111100,20230315,1
14-Weekday-1-23WINT-1111100,20230316,1
14-Weekday-1-23WINT-1111100,20230317,1
14-Weekday-1-23WINT-1111100,20230320,1
14-Weekday-1-23WINT-1111100,20230321,1
14-Weekday-1-23WINT-1111100,20230322,1
14-Weekday-1-23WINT-1111100,20230323,1
14-Weekday-1-23WINT-1111100,20230324,1
14-Weekday-1-23WINT-1111100,20230327,1
14-Weekday-1-23WINT-1111100,20230328,1
14-Weekday-1-23WINT-1111100,20230329,1
14-Weekday-1-23WINT-1111100,20230330,1
14-Weekday-1-23WINT-1111100,20230331,1
14-Weekday-1-23WINT-1111100,20230403,1
14-Weekday-1-23WINT-1111100,20230404,1
14-Weekday-1-23WINT-1111100,20230405,1
14-Weekday-1-23WINT-1111100,20230406,1
14-Weekday-1-23WINT-1111100,20230410,1
14-Weekday-1-23WINT-1111100,20230411,1
14-Weekday-1-23WINT-1111100,20230412,1
14-Weekday-1-23WINT-1111100,20230413,1
14-Weekday-1-23WINT-1111100,20230414,1
14-Weekday-1-23WINT-1111100,20230417,1
14-Weekday-1-23WINT-1111100,20230418,1
14-Weekday-1-23WINT-1111100,20230419,1
14-Weekday-1-23WINT-1111100,20230420,1
14-Weekday-1-23WINT-1111100,20230421,1
16-Holiday1-1-23WINT-0000001,20230220,1
16-Holiday1-1-23WINT-0000001,20230407,1
16-Saturday-1-23WINT-0000010,20230121,1
16-Saturday-1-23WINT-0000010,20230128,1
16-Saturday-1-23WINT-0000010,20230204,1
16-Saturday-1-23WINT-0000010,20230211,1
16-Saturday-1-23WINT-0000010,20230218,1
16-Saturday-1-23WINT-0000010,20230225,1
16-Saturday-1-23WINT-0000010,20230304,1
16-Saturday-1-23WINT-0000010,20230311,1
16-Saturday-1-23WINT-0000010,20230318,1
16-Saturday-1-23WINT-0000010,20230325,1
16-Saturday-1-23WINT-0000010,20230401,1
16-Saturday-1-23WINT-0000010,20230408,1
16-Saturday-1-23WINT-0000010,20230415,1
16-Saturday-1-23WINT-0000010,20230422,1
16-Sunday-1-23WINT-0000001,20230122,1
